gouvernorat;numero;maison_de_culture;adresse;telephone;directeur;lattitude;longitude;horaire;fax
"سيدي بوزيد";2;المزونة;"حي النور - 9150 المزونة";76668330;"سالمة بن عبد الرحمان";34.5804188;9.8466468;;
"سيدي بوزيد";6;"بئر الحفي";"9113 بئر الحفي";76677710;"انيس الدائم";34.932699;9.193277;;
تـــــــــونس;4;"باب العسل";"نهج العسل، 1006 باب سويقة";71562086;"منال عبد القوي";;;;
تـــــــــونس;8;"حي الزهور";"دار الثقافة الطيب المهيري، 2052 حي الزهور";71527520;"منير الخماسي";;;;
تـــــــــونس;12;"الكرم الشرقي";"17 نهج الطيب المهيري، 2015 الكرم";71730696;"وحيدة الدريدي";;;;
تـــــــــونس;13;"حي محمد علي";"12 نهج مفيدة بورقيبة، 2085 قرطاج";71985074;"عفاف زائري";;;;
تـــــــــونس;17;"حي الطيران";"2052 الزهور";71599857;"محسن القرواشي";;;;
تـــــــــونس;21;"باب سويقة";"ساحة باب سويقة، 1006";71573754;"يامينة الزايدي";;;;
تـــــــــونس;26;"تربة الباي";"باب الجديد";;"جميلة الشيحي";;;;
منوبة;2;"دوار هيشر";"طريق ماطر - كم 7 - 2086 دوار هيشر";71621774;"أماني دريوش";36.821774;10.082037;;
"بن عروس";2;"حمام الأنف";"شارع الجمهورية - 2050 حمام الأنف";71293833;"الامجد الزائر";;;;
"بن عروس";6;مقرين;"1نهج العروسي الحداد، 2033 مقرين";71432175;"سنية بن يحي";;;;
نابـــل;2;نابل;"نهج الهادي شاكر - 8000 نابل";72268817;"سلوى الهواري نبيلة خمير";;;;
نابـــل;6;قليبية;"شارع الشهداء - 8090 قليبية";72296098;"عائشة بن سليمان";;;;
نابـــل;10;تاكلسة;"8020 تاكلسة";72396625;"لطيفة بن عبيد";;;;
سليانة;8;"المركب الثقافي";;;"عبد الحميد السعيدي";;;;
سليانة;4;مكثر;"شارع الجمهورية - 6140 مكثر";78826806;"وسام زغدود";;;;
زغوان;1;زغوان;"1100 زغوان";72676630;"أمال جاء بالله";;;;
باجة;2;باجة;"شارع الحبيب بورقيبة - 9000 باجة";78454054;;;;;
باجة;6;نفزة;"شارع الحبيب بورقيبة - 9010 نفزة";78470038;"سلوى الوشتاتي";;;;
بنزرت;1;بنزرت;"شارع 9 جانفي - 7000 بنزرت";72434390;"محمد البشير القمودي";;;;
بنزرت;5;"راس الجبل";"7070رأس الجبل";72447862;"وديعة عميرة";;;;
توزر;1;توزر;"شارع أبو القاسم الشابي - ص ب 195 - 2200 توزر";76452822;"بدر الدين الشعباني";;;;
توزر;5;دقاش;"شارع الحبيب بورقيبة - 2260 دقاش";76420131;"عبد الحكيم العليمي";;;;
مدنين;4;ميدون;"1نهج سيدي الشريف - 4116 جربة ميدون";75730248;"عبد المنعم العرف";;;;
مدنين;6;جرجيس;"ساحة الثقافة - 4170 جرجيس";75692545;"كريم المجعي";;;;
الكاف;2;الدهماني;"شارع فرحات حشاد - 7180 الدهماني";78282010;"فاتن العبيدي";;;;
