,gouv,nbre_demaisonsdeculture,nbre_demedecins,nbre_decrimes,Pourcentage bac
0,ariana,124.0,2.0,322.0,44.21
1,kasserine,23.0,13.0,121.0,19.07
2,kairouan,41.0,11.0,99.0,26.7
3,le kef,25.0,10.0,458.0,25.61
4,monastir,46.0,15.0,115.0,45.41
5,mehdia,,14.0,,39.51
6,beja,30.0,10.0,152.0,29.12
7,ben arous,128.0,9.0,,38.04
8,bizerte,79.0,9.0,337.0,35.06
9,tataouine,5.0,6.0,,24.64
10,tunis,860.0,26.0,,39.98
11,touzeur,,5.0,,28.36
12,jendouba,15.0,9.0,243.0,23.13
13,zaghouan,7.0,4.0,,30.33
14,siliana,4.0,8.0,,25.49
15,sousse,168.0,9.0,1261.0,41.04
16,sidi bouzid,12.0,7.0,99.0,24.72
17,sfax,316.0,14.0,595.0,51.55
18,gabes,52.0,9.0,199.0,32.86
19,kebili,4.0,4.0,,24.09
20,gafsa,21.0,8.0,286.0,23.15
21,medenine,76.0,8.0,564.0,38.92
22,manouba,24.0,5.0,,32.7
23,nabeul,135.0,10.0,708.0,38.79
24,mahdia,25.0,,,39.51
